id,precision,recall,f1_score,agent_refactoring_count,oracle_count
2001,0.0,0.0,0,1,7
2002,0.5,1.0,0.6666666666666666,4,2
2011,0,0.0,0,0,3
2012,1.0,0.3333333333333333,0.5,2,6
2021,1.0,0.3333333333333333,0.5,1,3
2031,1.0,1.0,1.0,3,3
2041,1.0,0.3333333333333333,0.5,1,3
2051,0.6666666666666666,0.3333333333333333,0.4444444444444444,3,6
2052,1.0,0.6666666666666666,0.8,4,6
2053,0,0.0,0,0,4
2054,0,0.0,0,0,4
2061,0.0,0.0,0,3,9
2062,0.5,0.2222222222222222,0.30769230769230765,4,9
2063,0.6666666666666666,0.2857142857142857,0.4,3,7
2064,0.0,0.0,0,3,2
2065,0.4,1.0,0.5714285714285715,5,2
2081,1.0,0.16666666666666666,0.2857142857142857,1,6
2091,1.0,0.14285714285714285,0.25,1,7
2101,1.0,0.08,0.14814814814814814,2,25
2111,0,0.0,0,0,3
2112,0.6666666666666666,1.0,0.8,3,2
2121,1.0,0.045454545454545456,0.08695652173913045,1,22
2122,0,0.0,0,0,17
2131,1.0,0.8333333333333334,0.9090909090909091,5,6
2132,0.0,0.0,0,4,4
2133,0.0,0.0,0,4,2
2141,1.0,0.19047619047619047,0.32,4,21
2151,1.0,0.4444444444444444,0.6153846153846153,4,9
2161,1.0,0.5,0.6666666666666666,3,6
2162,1.0,1.0,1.0,2,2
2171,1.0,0.6,0.7499999999999999,3,5
2172,0,0.0,0,0,5
2181,1.0,0.2857142857142857,0.4444444444444445,4,14
2191,0.0,0.0,0,4,3
2192,0.2,0.5,0.28571428571428575,5,2
2201,1.0,0.08333333333333333,0.15384615384615385,1,12
2211,0.5,0.14285714285714285,0.22222222222222224,8,28
2221,0.3333333333333333,0.125,0.18181818181818182,3,8
2222,1.0,0.25,0.4,1,4
2231,0.6666666666666666,1.0,0.8,3,2
2232,1.0,0.5,0.6666666666666666,1,2
2233,0.5,0.5,0.5,2,2
2234,1.0,0.25,0.4,1,4
2235,0.2857142857142857,1.0,0.4444444444444445,7,2
2236,1.0,0.6666666666666666,0.8,2,3
2241,0.4,0.5,0.4444444444444445,5,4
2242,0.8333333333333334,1.0,0.9090909090909091,6,5
2243,1.0,1.0,1.0,4,4
2244,1.0,1.0,1.0,4,4
2251,0.5,0.1,0.16666666666666669,2,10
2252,1.0,0.3333333333333333,0.5,1,3
2253,1.0,0.5,0.6666666666666666,1,2
2261,0.5,0.3333333333333333,0.4,2,3
2271,0,0.0,0,0,42
2281,1.0,0.1111111111111111,0.19999999999999998,2,18
2282,1.0,1.0,1.0,3,3
2283,0.5,0.3333333333333333,0.4,2,3
2284,1.0,0.5,0.6666666666666666,1,2
2285,1.0,0.5,0.6666666666666666,1,2
2286,0.5,0.5,0.5,2,2
2291,0.5,1.0,0.6666666666666666,4,2
2292,0.0,0.0,0,1,6
2301,1.0,0.9887640449438202,0.9943502824858756,88,89
2302,1.0,1.0,1.0,88,88
2311,1.0,1.0,1.0,21,21
2312,0.0,0.0,0,1,2
2321,1.0,1.0,1.0,5,5
2322,0.0,0.0,0,6,4
2323,0.0,0.0,0,5,4
2331,1.0,0.8,0.888888888888889,4,5
2332,0.0,0.0,0,1,7
2341,0,0.0,0,0,27
2342,0.5652173913043478,1.0,0.7222222222222222,23,13
2343,0.0,0.0,0,1,2
2351,0.5,0.25,0.3333333333333333,2,4
